! Caption record:
APO 3.5M Pointing Data 2014-05-16T10:48:20.2
! Option record: ALTAZ followed by rotator code, if applicable
: ALTAZ
: ROTL
! Run parameters: telescope latitude deg min sec
32 46 49.3
! Pointing data (TPOINT format #4):
! az_desired_phys alt_desired_phys az_mount alt_mount rot_phys (all in deg)
125.917796 14.962443 125.887948 14.978062 15.12018
157.631387 14.166057 157.598764 14.188495 32.19363
186.109129 12.868920 186.077130 12.895088 92.06899
222.454040 14.005049 222.421847 14.031815 132.62996
285.598418 12.938505 285.570013 12.966872 131.47242
256.110612 12.318258 256.081804 12.346267 136.91937
221.386611 46.514640 221.362191 46.541151 142.40899
173.859928 72.089609 173.860692 72.120400 -153.80092
144.603779 44.021821 144.575773 44.051930 -53.90731
328.863570 76.828742 -31.102551 76.865459 40.88134
274.357310 50.090732 -85.661059 50.126618 104.56184
243.326961 28.466110 -116.702594 28.491556 130.05289
314.214184 14.662398 -45.817026 14.685306 117.09860
90.360319 17.105792 90.327716 17.122697 14.22635
64.046815 15.990518 64.017283 16.006165 23.15295
25.636785 17.089914 25.608669 17.108517 46.40097
347.284831 13.392959 -12.742897 13.418078 90.86061
341.962130 45.803677 -18.055606 45.830025 59.35275
