! Caption record:
APO 3.5M Pointing Data 2025-07-15T10:22:33.8
! Option record: ALTAZ followed by rotator code, if applicable
: ALTAZ
: ROTL
! Run parameters: telescope latitude deg min sec
32 46 49.3
! Pointing data (TPOINT format #4):
!
! All angles are in degrees
! Azimuth uses the convention: N=0, E=90 (unlike the TCC, which uses S=0, E=90)
!
!  Desired Phys            Actual Mount          Rot Phys
! Az          Alt         Az          Alt
!  86.519915   47.556739   86.561754   47.599932   -0.00000  ! entry 1 star 1 pt ref 1761-02540-1
  54.304459   16.436447   54.345620   16.474159   -0.00000  ! entry 2 star 2 pt ref 2896-02101-1
  25.912031   12.130686   25.955116   12.166694   -0.00000  ! entry 3 star 3 pt ref 3779-01730-1
!  27.613477   13.816824   27.643563   13.869701   -0.00000  ! entry 3 star 3 pt ref 3779-01730-1
 -3.237064   12.480821   -3.195756   12.517710   -0.00000  ! entry 4 star 4 pt ref 4392-01805-1
! -44.217490   14.856238  -44.191004   14.913246   -0.00000  ! entry 5 star 5 pt ref 3491-01859-1
!-104.058870   16.045687 -104.055297   16.094656   -0.00000  ! entry 6 star 6 pt ref 5102-00416-1
 -104.413641   15.114271 -104.372492   15.157379   -0.00000  ! entry 6 star 6 pt ref 5100-00600-1
! -76.053923   16.270291  -76.014252   16.312206   -0.00000  ! entry 7 star 7 pt ref 1545-02527-1
 -44.762446   45.649072  -44.724156   45.695171   -0.00000  ! entry 8 star 8 pt ref 3920-01971-1
  6.178630   73.213157    6.198755   73.260922   -0.00000  ! entry 9 star 9 pt ref 3631-02231-1
  30.908285   41.817339   30.943771   41.861921   -0.00000  ! entry 10 star 10 pt ref 4056-01858-1
 -153.020730   81.204675  206.936571   81.259436   -0.00000  ! entry 11 star 11 pt ref 2225-01821-1
! -91.582979   53.010087  268.449251   53.078109   -0.00000  ! entry 12 star 12 pt ref 2159-02070-1
 -61.489244   27.855702  298.551418   27.900561   -0.00000  ! entry 13 star 13 pt ref 2620-02298-1
!-135.777796   15.288477  224.252678   15.349535   -0.00000  ! entry 14 star 14 pt ref 6899-02595-1
 147.541832   40.992539  147.574616   41.037498   -0.00000  ! entry 15 star 15 pt ref 5270-01139-1
 89.330050   17.950088   89.369308   17.990093   -0.00000  ! entry 16 star 16 pt ref 0671-00912-1
 115.486277   14.400055  115.523357   14.438800   -0.00000  ! entry 17 star 17 pt ref 5302-00688-1
 150.700295   12.826766  150.737165   12.867115   -0.00000  ! entry 18 star 18 pt ref 7005-02271-1
 -171.211487   13.373071  188.824516   13.414796   -0.00000  ! entry 19 star 19 pt ref 8003-01372-1
 -158.559809   47.453638  201.469449   47.502960   -0.00000  ! entry 20 star 20 pt ref 5804-01742-1
