! Caption record:
APO 3.5M Pointing Data 2023-08-22T09:32:27.7
! Option record: ALTAZ followed by rotator code, if applicable
: ALTAZ
: ROTL
! Run parameters: telescope latitude deg min sec
32 46 49.3
! Pointing data (TPOINT format #4):
!
! All angles are in degrees
! Azimuth uses the convention: N=0, E=90 (unlike the TCC, which uses S=0, E=90)
!
!  Desired Phys            Actual Mount          Rot Phys
! Az          Alt         Az          Alt
  96.839626   83.189256   96.908476   83.234801   -0.00000  ! entry 1 star 1 pt ref 2277-00843-1
  -3.891119   44.770774   -3.831206   44.809969   -0.00000  ! entry 2 star 3 pt ref 4606-03584-1
 -21.418135   54.244223  -21.355160   54.287956   -0.00000  ! entry 3 star 4 pt ref 4269-00809-1
  34.707472   73.978441   34.784376   74.021039   -0.00000  ! entry 4 star 5 pt ref 3265-02401-1
  45.948319   40.589193   46.004430   40.629149   -0.00000  ! entry 5 star 6 pt ref 3734-02322-1
   2.406474   72.211262    2.476012   72.255733   -0.00000  ! entry 6 star 7 pt ref 3257-02189-1
  18.135080   58.420759   18.197028   58.464545   -0.00000  ! entry 7 star 8 pt ref 4032-00369-1
  55.255145   54.831786   55.311964   54.874158   -0.00000  ! entry 8 star 9 pt ref 3312-03022-1
 157.006569   43.949024  157.058963   43.993309   -0.00000  ! entry 9 star 10 pt ref 5278-02438-1
! 175.648789   74.280492  175.711230   74.353284   -0.00000  ! entry 10 star 11 pt ref 1188-01686-1
-149.781453   23.604012  210.271364   23.646225   -0.00000  ! entry 11 star 12 pt ref 6966-01509-1
-116.709017   28.554124  243.343676   28.597895   -0.00000  ! entry 12 star 13 pt ref 5202-01365-1
-129.355680   57.996622  230.700639   58.044527   -0.00000  ! entry 13 star 15 pt ref 1161-01794-1
! -95.952000   83.481332  264.152578   83.536893   -0.00000  ! entry 14 star 16 pt ref 2261-01483-1
 -95.830339   83.410323  264.287296   83.461825   -0.00000  ! entry 15 star 17 pt ref 2261-01483-1
! 143.483016   50.451570  143.536170   50.495514   -0.00000  ! entry 16 star 18 pt ref 4691-01115-1
 115.842641   28.544316  115.897650   28.582547   -0.00000  ! entry 17 star 19 pt ref 4730-01947-1
 152.256458   80.913339  152.308980   80.961840   -0.00000  ! entry 18 star 20 pt ref 1747-02263-1
 140.033160   70.314036  140.086601   70.361181   -0.00000  ! entry 19 star 21 pt ref 1206-01792-1
 122.362715   40.455373  122.419945   40.496074   -0.00000  ! entry 20 star 22 pt ref 0064-01569-1
 129.409968   26.925078  129.462885   26.962824   -0.00000  ! entry 21 star 23 pt ref 5311-01285-1
 109.153331   40.674954  109.206905   40.713004   -0.00000  ! entry 22 star 24 pt ref 0659-01274-1
 111.371933   73.627634  111.427524   73.672120   -0.00000  ! entry 23 star 25 pt ref 1761-02540-1
  63.155521   68.189024   63.219529   68.231082   -0.00000  ! entry 24 star 26 pt ref 2849-02054-1
  56.882992   24.275379   56.939258   24.311074   -0.00000  ! entry 25 star 27 pt ref 2932-02464-1
  72.643973   41.427780   72.699149   41.464654   -0.00000  ! entry 26 star 28 pt ref 2391-01446-1
! 171.370024   78.270719  171.418218   78.330646   -0.00000  ! entry 27 star 29 pt ref 1202-02126-1
!-158.186035   71.602228  201.882767   71.658457   -0.00000  ! entry 28 star 30 pt ref 1187-01876-1
-152.876155   39.076989  207.176386   39.122206   -0.00000  ! entry 29 star 31 pt ref 5836-00978-1
!-156.420266   49.208152  203.630115   49.253866   -0.00000  ! entry 30 star 32 pt ref 4669-00996-1
-140.257797   25.704108  219.794025   25.746736   -0.00000  ! entry 31 star 33 pt ref 6392-01443-1
  17.549515   45.957655   17.609240   45.996765   -0.00000  ! entry 32 star 34 pt ref 4335-02106-1
 -18.040696   77.007627  -17.957809   77.053282   -0.00000  ! entry 33 star 35 pt ref 2809-01146-1
 -40.887411   25.021538  -40.829231   25.060599   -0.00000  ! entry 34 star 36 pt ref 3919-01316-1
!  76.166111   28.872421   76.214635   28.911428   -0.00000  ! entry 35 star 37 pt ref 1867-03204-1
  96.488537   31.008660   96.540727   31.044476   -0.00000  ! entry 36 star 38 pt ref 0707-01840-1
-170.560461   78.025017  189.483592   78.073812   -0.00000  ! entry 37 star 39 pt ref 1202-02127-1
-108.350043   37.810817  251.706513   37.856584   -0.00000  ! entry 38 star 40 pt ref 0564-01847-1
!-101.778580   30.195338  258.282906   30.241631   -0.00000  ! entry 39 star 41 pt ref 0541-01932-1
 168.967870   27.332630  169.022352   27.373271   -0.00000  ! entry 40 star 42 pt ref 6432-02329-1
